invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-38396300006,7/16/2021,5625,Oasis / Des Moines,5120 NE 14th St,Des Moines,50313,POINT (-93.60054000000001 41.653137),77,POLK,1081400,American Schnapps,421,SAZERAC COMPANY  INC,84224,99 Lemon Lime Mini,10,50,5.16,7.74,2,15.48,0.1,0.02
INV-34595800022,2/25/2021,3644,Wal-Mart 2764 / Altoona,3501  8th St SW,Altoona,50009,POINT (-93.505276 41.644195),77,POLK,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19066,Jim Beam,12,750,10.5,15.75,12,189,9,2.37
INV-42064600013,11/16/2021,5415,Prime Mart 7 / Waterloo,1309 Lafayette St,Waterloo,50703,POINT (-92.3272 42.494092),7,BLACK HAWK,1062500,Flavored Rum,370,PERNOD RICARD USA,42716,Malibu Coconut,12,750,7.99,11.99,12,143.88,9,2.37
INV-32846700015,12/18/2020,5367,Casey's General Store # 2618/ Fredricksburg,215 W Main St.,Fredericksburg,50630,POINT (-92.202089 42.965093),19,CHICKASAW,1031100,American Vodkas,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,12,129.12,21,5.54
INV-42248800004,11/22/2021,5781,Casey's General Store #2898 / Clarence,93 Lombard St,Clarence,52216,POINT (-91.065862 41.888723),16,CEDAR,1062500,Flavored Rum,305,Mhw LTD,42242,Blue Chair Bay Coconut Rum,12,750,10.49,15.74,4,62.96,3,0.79
INV-40826000015,10/8/2021,4209,Wal-Mart 5748 / Grimes,2150 East 1st St,Grimes,50111,POINT (-93.771356 41.685538),77,POLK,1031100,American Vodkas,260,DIAGEO AMERICAS,37998,Smirnoff 80prf,6,1750,14.75,22.13,12,265.56,21,5.54
INV-36926600016,5/25/2021,4014,Wal-Mart 1732 / Denison,510 C Ave,Denison,51442,,24,CRAWFORD,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,100423,Fireball Cinnamon Whiskey 100ml Carrier,8,100,6,9,8,72,0.8,0.21
INV-39156600054,8/12/2021,5917,Urbandale Liquor,6401 Douglas Ave STE 1,Urbandale,50322,POINT (-93.705732 41.629411),77,POLK,1051100,American Brandies,421,SAZERAC COMPANY  INC,52199,Paul Masson Grande Amber Brandy VS,48,100,1,1.5,48,72,4.8,1.26
INV-37693600037,6/21/2021,5198,Riverside Liquor,826 E River Dr,Davenport,52803,POINT (-90.561741 41.524926),82,SCOTT,1031100,American Vodkas,205,E & J Gallo Winery,36971,New Amsterdam 80prf,6,1750,14,21,6,126,10.5,2.77
INV-41396400037,10/27/2021,3629,Wal-Mart 1965 / Council Bluffs,3200 Manawa Dr,Council Bluffs,51503,,78,POTTAWATTA,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,27410,Jim Beam Honey,12,750,11,16.5,12,198,9,2.37
